lenovo thinkpad x240,A0ALA0CSCD,PB015Z93,bei-win-015,,marcom,2/5/2015,20228
Lenovo Thinkpad T420s,4172-A35,R9PABM4,sha-win-004,jinwan01,AE,2/5/2015,20445
Lenovo Thinkpad T420s,4172-A35,R9PABW5,sha-win-006,simzha01,R&D(MPEG),4/28/2015,20189
lenovo Thinkpad X230,2325IZ0,R9YLTB9,sha-win-007,zhoguo01,IT,4/28/2015,20455
Lenovo Thinkpad T430,2347-g7c,PBFZZBL,sha-win-014,thosun01,R&D(MPEG),5/31/2015,20177
Lenovo Thinkpad T420s,4171-A22,R9DM9CN,sha-win-023,feiyan01,R&D(MPEG),8/1/2015,20449
Lenovo Thinkpad T420s,4171-A22,R9DM9D5,sha-win-026,riczhu01,R&D(MPEG),8/1/2015,20448
Lenovo Thinkpad T420s,4172-A35,R9-PABZV,sha-win-031,lonqi01,AE,8/1/2015,20169
Lenovo Thinkpad T420s,4172-A35,R9-PABZG,sha-win-032,yunzha01,AE,9/19/2015,20433
Lenovo Thinkpad T420s,4172-A35,R9F5HCK,sha-win-033,limxu01,,9/19/2015,20447
Lenovo Thinkpad T420s,4171-A59,R9-KMTX9,sha-win-039,rafwu01,R&D(MPEG),9/19/2015,20427
Lenovo Thinkpad T420s,4171-A49,R9-MFZY9,sha-win-042,zerche01,R&D(MPEG),9/19/2015,20176
Lenovo Thinkpad T420s,4171-A49,R9-MG02K,sha-win-046,jaywu01,AE,9/19/2015,20193
Lenovo Thinkpad T430,2347-g7c,PBEVLFN,sha-win-052,nanjia01,AE,9/19/2015,20434
Lenovo Thinkpad T430,2347-g7c,PBETWWL,sha-win-057,julyin01,R&D(MPEG),10/27/2015,20230
Lenovo Thinkpad T420s,4171-A59,R9-KMTX2,sha-win-062,joncha01,R&D(MPEG),,20428
Lenovo Thinkpad T430,2347-g7c,PBMXHKB,sha-win-064,stahua01,R&D(MPEG),,20437
Lenovo Thinkpad T430,2347-g7c,PBMXHLX,sha-win-065,heahao01,R&D(MPEG),,20435
Lenovo Thinkpad T430,2347-g7c,PBMXHKE,sha-win-067,johwan01,IT,,20444
Lenovo Thinkpad T430,2347-g7c,PBMXHLB,sha-win-068,frali01,R&D(MPEG),,20450
Lenovo Thinkpad T430,2347-g7c,PBMXHLH,sha-win-071,shezha01,R&D(MPEG),,20451
Lenovo Thinkpad X230,2325-5nc,R9V7EA4,sha-win-074,bobpen01,sw alliance,,20467
Lenovo Thinkpad X230,2325-5nc,R9VBFT1,sha-win-075,cinye01,hr,,20469
Lenovo Thinkpad X230,2325-5nc,R9VBFTN,sha-win-076,cenche01,Finance,,20484
Lenovo Thinkpad X230,2325-5nc,R9VBFV4,sha-win-077,chafu01,IT,,20489
Lenovo Thinkpad X230,2324-3wc,r9vtxrz,sha-win-079,olihan01,Marcom,,20483
Lenovo Thinkpad X230,2325-5nc,r9w82ha,sha-win-083,betche01,admin,,20485
Lenovo Thinkpad T420s,4171-A49,R9-NAHVL,sha-win-087,bopan01,mali400,,20170
Lenovo Thinkpad T430,2347-g7c,PB83PKE,sha-win-090,zhexu01,R&D(PDSW),,20501
Lenovo Thinkpad T430,2347-g7c,PBFZZBH,sha-win-097,xinwan01,AE,,20438
Lenovo Thinkpad T430,2347-g7c,PB2E78Y,sha-win-104,diliu01,R&D(MPEG),,20495
Lenovo Thinkpad T430,2347-g7c,PB2E78V,sha-win-108,shilei01,AE,,20429
Lenovo Thinkpad T430,2349G7C,PB7WK30,sha-win-112,zhawan01,R&D(MPEG),,20521
Lenovo Thinkpad T420s,2904-D9C,R9DM95N,sha-win-115,eriche02,mali400,,20460
Lenovo Thinkpad X230,23243wc,R9Y3018,sha-win-116,zhezha01,FAE,,20503
lenovo thinkpad T430,2349G7C,PB7WK43,sha-win-123,scofan01,R&D(MPEG),,20504
Lenovo Thinkpad T430,2349G7C,PB7WK41,sha-win-124,saiwu01,AE,,20505
lenovo thinkpad T430 ,2349G7C,PB0VWX9,sha-win-125,cooyua01,R&D(MPEG),,20512
Lenovo Thinkpad T430,2349G7C,PB5WY3G,sha-win-126,haizha01,AE,,20508
Lenovo Thinkpad T430,2347-G7C,PBEMKLB,sha-win-130,haoliu01,R&D(PDSW),,20443
lenovo thinkpad x230 ,23243wc,R9Z8ANL,sha-win-134,evepan01,Marketing,,20506
